[time=67]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1012783], [ incrementalVisited = 0] ,[totalVisited = 35793] 
[time=68]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1014572], [ incrementalVisited = 0] ,[totalVisited = 34004] 
[time=69]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1016272], [ incrementalVisited = 0] ,[totalVisited = 32304] 
[time=70]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1017887], [ incrementalVisited = 0] ,[totalVisited = 30689] 
[time=71]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1019421], [ incrementalVisited = 0] ,[totalVisited = 29155] 
[time=72]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1020878], [ incrementalVisited = 0] ,[totalVisited = 27698] 
[time=73]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1022262], [ incrementalVisited = 0] ,[totalVisited = 26314] 
[time=74]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1023577], [ incrementalVisited = 0] ,[totalVisited = 24999] 
[time=75]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1024826], [ incrementalVisited = 0] ,[totalVisited = 23750] 
[time=76]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1026013], [ incrementalVisited = 0] ,[totalVisited = 22563] 
[time=77]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1027141], [ incrementalVisited = 0] ,[totalVisited = 21435] 
[time=78]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1028212], [ incrementalVisited = 0] ,[totalVisited = 20364] 
[time=79]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1029230], [ incrementalVisited = 0] ,[totalVisited = 19346] 
[time=80]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1030197], [ incrementalVisited = 0] ,[totalVisited = 18379] 
[time=81]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1031115], [ incrementalVisited = 0] ,[totalVisited = 17461] 
[time=82]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1031988], [ incrementalVisited = 0] ,[totalVisited = 16588] 
[time=83]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1032817], [ incrementalVisited = 0] ,[totalVisited = 15759] 
[time=84]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1033604], [ incrementalVisited = 0] ,[totalVisited = 14972] 
[time=85]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1034352], [ incrementalVisited = 0] ,[totalVisited = 14224] 
[time=86]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1035063], [ incrementalVisited = 0] ,[totalVisited = 13513] 
[time=87]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1035738], [ incrementalVisited = 0] ,[totalVisited = 12838] 
[time=88]:[N=1048576 current nodes UP],[Susceptible= 0],[remove = 1036379], [ incrementalVisited = 0] ,[totalVisited = 12197] 
