[time=66]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31559], [ incrementalVisited = 0] ,[totalVisited = 1201] 
[time=67]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31619], [ incrementalVisited = 0] ,[totalVisited = 1141] 
[time=68]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31676], [ incrementalVisited = 0] ,[totalVisited = 1084] 
[time=69]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31730], [ incrementalVisited = 0] ,[totalVisited = 1030] 
[time=70]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31781], [ incrementalVisited = 0] ,[totalVisited = 979] 
[time=71]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31829], [ incrementalVisited = 0] ,[totalVisited = 931] 
[time=72]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31875], [ incrementalVisited = 0] ,[totalVisited = 885] 
[time=73]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31919], [ incrementalVisited = 0] ,[totalVisited = 841] 
[time=74]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 31961], [ incrementalVisited = 0] ,[totalVisited = 799] 
[time=75]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32000], [ incrementalVisited = 0] ,[totalVisited = 760] 
[time=76]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32038], [ incrementalVisited = 0] ,[totalVisited = 722] 
[time=77]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32074], [ incrementalVisited = 0] ,[totalVisited = 686] 
[time=78]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32108], [ incrementalVisited = 0] ,[totalVisited = 652] 
[time=79]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32140], [ incrementalVisited = 0] ,[totalVisited = 620] 
[time=80]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32171], [ incrementalVisited = 0] ,[totalVisited = 589] 
[time=81]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32200], [ incrementalVisited = 0] ,[totalVisited = 560] 
[time=82]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32228], [ incrementalVisited = 0] ,[totalVisited = 532] 
[time=83]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32254], [ incrementalVisited = 0] ,[totalVisited = 506] 
[time=84]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32279], [ incrementalVisited = 0] ,[totalVisited = 481] 
[time=85]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32303], [ incrementalVisited = 0] ,[totalVisited = 457] 
[time=86]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32325], [ incrementalVisited = 0] ,[totalVisited = 435] 
[time=87]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32346], [ incrementalVisited = 0] ,[totalVisited = 414] 
[time=88]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32366], [ incrementalVisited = 0] ,[totalVisited = 394] 
[time=89]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32385], [ incrementalVisited = 0] ,[totalVisited = 375] 
[time=90]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32403], [ incrementalVisited = 0] ,[totalVisited = 357] 
[time=91]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32420], [ incrementalVisited = 0] ,[totalVisited = 340] 
[time=92]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32437], [ incrementalVisited = 0] ,[totalVisited = 323] 
[time=93]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32453], [ incrementalVisited = 0] ,[totalVisited = 307] 
[time=94]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32468], [ incrementalVisited = 0] ,[totalVisited = 292] 
[time=95]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32482], [ incrementalVisited = 0] ,[totalVisited = 278] 
[time=96]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32495], [ incrementalVisited = 0] ,[totalVisited = 265] 
[time=97]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32508], [ incrementalVisited = 0] ,[totalVisited = 252] 
[time=98]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32520], [ incrementalVisited = 0] ,[totalVisited = 240] 
[time=99]:[N=32768 current nodes UP],[Susceptible= 8],[remove = 32532], [ incrementalVisited = 0] ,[totalVisited = 228] 
