[time=67]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 119663], [ incrementalVisited = 0] ,[totalVisited = 11393] 
[time=68]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120016], [ incrementalVisited = 0] ,[totalVisited = 11040] 
[time=69]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120297], [ incrementalVisited = 0] ,[totalVisited = 10759] 
[time=70]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120501], [ incrementalVisited = 0] ,[totalVisited = 10555] 
[time=71]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120648], [ incrementalVisited = 0] ,[totalVisited = 10408] 
[time=72]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120757], [ incrementalVisited = 0] ,[totalVisited = 10299] 
[time=73]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120859], [ incrementalVisited = 0] ,[totalVisited = 10197] 
[time=74]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 120971], [ incrementalVisited = 0] ,[totalVisited = 10085] 
[time=75]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 121122], [ incrementalVisited = 0] ,[totalVisited = 9934] 
[time=76]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 121320], [ incrementalVisited = 0] ,[totalVisited = 9736] 
[time=77]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 121602], [ incrementalVisited = 0] ,[totalVisited = 9454] 
[time=78]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 121965], [ incrementalVisited = 0] ,[totalVisited = 9091] 
[time=79]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 122378], [ incrementalVisited = 0] ,[totalVisited = 8678] 
[time=80]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 122807], [ incrementalVisited = 0] ,[totalVisited = 8249] 
[time=81]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 123217], [ incrementalVisited = 0] ,[totalVisited = 7839] 
[time=82]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 123603], [ incrementalVisited = 0] ,[totalVisited = 7453] 
[time=83]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 123965], [ incrementalVisited = 0] ,[totalVisited = 7091] 
[time=84]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 124304], [ incrementalVisited = 0] ,[totalVisited = 6752] 
[time=85]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 124629], [ incrementalVisited = 0] ,[totalVisited = 6427] 
[time=86]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 124940], [ incrementalVisited = 0] ,[totalVisited = 6116] 
[time=87]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125239], [ incrementalVisited = 0] ,[totalVisited = 5817] 
[time=88]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125525], [ incrementalVisited = 0] ,[totalVisited = 5531] 
[time=89]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125776], [ incrementalVisited = 0] ,[totalVisited = 5280] 
[time=90]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 125987], [ incrementalVisited = 0] ,[totalVisited = 5069] 
[time=91]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126166], [ incrementalVisited = 0] ,[totalVisited = 4890] 
[time=92]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126317], [ incrementalVisited = 0] ,[totalVisited = 4739] 
[time=93]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126437], [ incrementalVisited = 0] ,[totalVisited = 4619] 
[time=94]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126524], [ incrementalVisited = 0] ,[totalVisited = 4532] 
[time=95]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126587], [ incrementalVisited = 0] ,[totalVisited = 4469] 
[time=96]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126633], [ incrementalVisited = 0] ,[totalVisited = 4423] 
[time=97]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126677], [ incrementalVisited = 0] ,[totalVisited = 4379] 
[time=98]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126725], [ incrementalVisited = 0] ,[totalVisited = 4331] 
[time=99]:[N=131072 current nodes UP],[Susceptible= 16],[remove = 126789], [ incrementalVisited = 0] ,[totalVisited = 4267] 
